time,Wiener,Volterra
0.826,-0.812723,-0.50845
0.827,-0.757798,-0.510283
0.828,-0.768002,-0.509806
0.829,-0.757566,-0.510547
0.83,-0.707347,-0.510867
0.831,-0.685551,-0.509799
0.832,-0.712114,-0.509006
0.833,-0.724713,-0.509627
0.834,-0.752868,-0.510307
0.835,-0.73603,-0.511654
0.836,-0.761733,-0.511927
0.837,-0.767529,-0.513237
0.838,-0.804794,-0.514262
0.839,-0.81557,-0.516282
0.84,-0.775344,-0.517894
0.841,-0.759493,-0.517886
0.842,-0.769464,-0.518007
0.843,-0.782746,-0.518787
0.844,-0.749173,-0.519862
0.845,-0.741226,-0.519625
0.846,-0.736541,-0.519716
0.847,-0.748796,-0.519884
0.848,-0.741006,-0.520588
0.849,-0.752642,-0.520866
0.85,-0.724972,-0.521648
